path	tag_git_blob	correction_git_blob	identical
samples/lib/loops.sn	e5d8923a22a1c97b5cc227be4e079242ec114eab	e5d8923a22a1c97b5cc227be4e079242ec114eab	true
samples/lib/memory.sn	df9b60d2e528a636e25653dcf2720ddff96d2ae9	df9b60d2e528a636e25653dcf2720ddff96d2ae9	true
samples/lib/strings.sn	3136000f4f85de17ef96b13d2336351467c83f20	3136000f4f85de17ef96b13d2336351467c83f20	true
samples/lib/time.sn	d0829b6bdce239cfb116b0afd6686381e122886d	d0829b6bdce239cfb116b0afd6686381e122886d	true
samples/lib/types.sn	22be9feab8f11df48c0a01629fc0137c72b61bf0	22be9feab8f11df48c0a01629fc0137c72b61bf0	true
samples/main.sn	ad97c164d47adabbbed40a710d894abbec9e4139	ad97c164d47adabbbed40a710d894abbec9e4139	true
scripts/install-prereqs.ps1	33731a8033be3addbd373c47ba9bf418907f16e2	33731a8033be3addbd373c47ba9bf418907f16e2	true
scripts/install-prereqs.sh	73334cad89ed932bf77c1a06b9cece2c1d4aa8f4	73334cad89ed932bf77c1a06b9cece2c1d4aa8f4	true
scripts/install.ps1	e0bacf66325b424f4f16642855038d09ba899448	e0bacf66325b424f4f16642855038d09ba899448	true
scripts/install.sh	8886975950298794039a2b945e00c4e4f66a8109	8886975950298794039a2b945e00c4e4f66a8109	true
scripts/run_tests.py	952f04d7733ec7849aca28af421f1bfe0835a1dd	952f04d7733ec7849aca28af421f1bfe0835a1dd	true
sn.yaml	f2b22144c4dafe1ca463c2e54cb52060e2bda1ee	f2b22144c4dafe1ca463c2e54cb52060e2bda1ee	true
src/arena.c	da27ee899cdb4de8f85a52acffdbdff5354c9974	da27ee899cdb4de8f85a52acffdbdff5354c9974	true
src/arena.h	1bbbb42ed1eefbeb7fe85eeb4a963b5960cbb590	1bbbb42ed1eefbeb7fe85eeb4a963b5960cbb590	true
src/ast.c	0b37a612f1fdadf3f62b9b305b59e03eab1d6bf8	0b37a612f1fdadf3f62b9b305b59e03eab1d6bf8	true
src/ast.h	e33df94009caa6be2d234e43de4b6507364d9db2	e33df94009caa6be2d234e43de4b6507364d9db2	true
src/ast/ast_expr.c	2f3470c232dfe5b18780e8874ff233af6def8b5e	2f3470c232dfe5b18780e8874ff233af6def8b5e	true
src/ast/ast_expr.h	e8b9f48246fbcf2dc449f3cf35bd07e0ff66f52f	e8b9f48246fbcf2dc449f3cf35bd07e0ff66f52f	true
src/ast/ast_expr_advanced.c	abbe60824e6666af017ffd00cb23e338aeae9803	abbe60824e6666af017ffd00cb23e338aeae9803	true
src/ast/ast_expr_basic.c	3fb10cff8431e6830a6d7afe8be2cc0f237014a7	3fb10cff8431e6830a6d7afe8be2cc0f237014a7	true
src/ast/ast_expr_call.c	acb29b5941c9f78215f0dff89ae876d4b3565229	acb29b5941c9f78215f0dff89ae876d4b3565229	true
src/ast/ast_expr_struct.c	bd50ef551737f88130c07c061629f96f217825ac	bd50ef551737f88130c07c061629f96f217825ac	true
src/ast/ast_print.c	681a70f0dbbbb01081a9ee1ee4847301341aaa01	681a70f0dbbbb01081a9ee1ee4847301341aaa01	true
src/ast/ast_print.h	88c837393a7818e4406aa902f36ef87122a5350b	88c837393a7818e4406aa902f36ef87122a5350b	true
src/ast/ast_stmt.c	5dcbc8904182373f638ccdc577cc610a7adf1b97	5dcbc8904182373f638ccdc577cc610a7adf1b97	true
src/ast/ast_stmt.h	2b16d876439e946a44e493c2e84630a207d89f51	2b16d876439e946a44e493c2e84630a207d89f51	true
src/ast/ast_type.c	5af6f25c5f650e8a113f8091e2be2033cf8fd2f2	5af6f25c5f650e8a113f8091e2be2033cf8fd2f2	true
src/ast/ast_type.h	a43db102e23afc2222adb22c70bec06c03599535	a43db102e23afc2222adb22c70bec06c03599535	true
src/cgen/c/gen_model_render_min_c.c	5c6500596d45bc9b2566ad6fa7f25a81c5c8e615	5c6500596d45bc9b2566ad6fa7f25a81c5c8e615	true
src/cgen/gen_model.c	e26f98ce0e7f88d9d07ec996dc6c236e46451055	e26f98ce0e7f88d9d07ec996dc6c236e46451055	true
src/cgen/gen_model.h	041d309bdee3d1d801bb33656d002719c518c8d5	041d309bdee3d1d801bb33656d002719c518c8d5	true
src/cgen/gen_model_chain_flatten.c	79d05b9d3029e4dbcda8093f4356e5e659a09bc6	79d05b9d3029e4dbcda8093f4356e5e659a09bc6	true
src/cgen/gen_model_expr.c	b5b28358646cdd9fd4f51d25a9af5aaba34fda81	b5b28358646cdd9fd4f51d25a9af5aaba34fda81	true
src/cgen/gen_model_func.c	273b6febc87c945a88aff4032c698f10910a8a05	273b6febc87c945a88aff4032c698f10910a8a05	true
src/cgen/gen_model_render.h	ebc0d3d7ece952376da2f05b8ef801c792816946	ebc0d3d7ece952376da2f05b8ef801c792816946	true
src/cgen/gen_model_render_common.c	43b4fbd47565a6170faf434f3a656d5a250a8e44	43b4fbd47565a6170faf434f3a656d5a250a8e44	true
src/cgen/gen_model_render_internal.h	bfccc7b1a79b83e2269c236a777999da463e8820	bfccc7b1a79b83e2269c236a777999da463e8820	true
src/cgen/gen_model_render_modular.c	19364116238a097f10ea6ccc240042bcdbcbe7f5	19364116238a097f10ea6ccc240042bcdbcbe7f5	true
src/cgen/gen_model_split.c	4f3b83493e9fe43d75e2ed71ced0124463fcdebd	4f3b83493e9fe43d75e2ed71ced0124463fcdebd	true
src/cgen/gen_model_split.h	67cad8468d0910ef3e57ed796a8bee56e2ec1528	67cad8468d0910ef3e57ed796a8bee56e2ec1528	true
src/cgen/gen_model_stmt.c	2da2e7f1d929b2c9405c124111dd2b6102692ff4	2da2e7f1d929b2c9405c124111dd2b6102692ff4	true
src/cgen/gen_model_struct.c	b52dfbc76a3eed055743db4394f2e71a2ada69b9	b52dfbc76a3eed055743db4394f2e71a2ada69b9	true
src/cgen/gen_model_type.c	70a528c667724f320cbc5cd96bd9c86666f21e38	70a528c667724f320cbc5cd96bd9c86666f21e38	true
src/cgen/ownership.c	142588595bdc9af16cd545b1aa42deb82b13cfaf	142588595bdc9af16cd545b1aa42deb82b13cfaf	true
src/cgen/ownership.h	95c47bcb82d1a9ea8afce8b095ec7cfd23adee65	95c47bcb82d1a9ea8afce8b095ec7cfd23adee65	true
src/colors.h	8d4a46456a327d7b8849f85ff8ad50329d75cccc	8d4a46456a327d7b8849f85ff8ad50329d75cccc	true
src/compiler.c	971855269e2695891a8fb2d361be363d9f7892eb	6cd979cd5ffaef9bab2e6bbb9ca17f8ba8d5ed88	false
src/compiler.h	2923275211ca17813cf572cb7b2ff304f3019789	171c01516ab0fcdb346fcfe04b27e7a98da706a4	false
